2023-2,002,3,New York Knicks,99,1,brunsja01 hartjo01 barrerj01 randlju01 robinmi01,quickim01 harteis01 toppiob01 grimequ01 mcbrimi01 jeffrda01 rosede01,mitchdo01 allenja01 garlada01 mobleev01 leverca01,osmande01 okorois01 greenda02 rubiori01 wadede01 stevela01 netora01 lopezro01,Cleveland Cavaliers
2023-2,002,4,Cleveland Cavaliers,93,0,mitchdo01 allenja01 garlada01 mobleev01 leverca01,osmande01 okorois01 greenda02 rubiori01 wadede01 stevela01 netora01 lopezro01,brunsja01 hartjo01 barrerj01 randlju01 robinmi01,quickim01 harteis01 toppiob01 grimequ01 mcbrimi01 jeffrda01 rosede01,New York Knicks
2023-2,002,4,New York Knicks,102,1,brunsja01 hartjo01 barrerj01 randlju01 robinmi01,quickim01 harteis01 toppiob01 grimequ01 mcbrimi01 jeffrda01 rosede01,mitchdo01 allenja01 garlada01 mobleev01 leverca01,osmande01 okorois01 greenda02 rubiori01 wadede01 stevela01 netora01 lopezro01,Cleveland Cavaliers
2023-2,002,5,New York Knicks,106,0,brunsja01 hartjo01 barrerj01 randlju01 robinmi01,quickim01 harteis01 toppiob01 grimequ01 mcbrimi01 jeffrda01 rosede01,mitchdo01 allenja01 garlada01 mobleev01 leverca01,osmande01 okorois01 greenda02 rubiori01 wadede01 stevela01 netora01 lopezro01,Cleveland Cavaliers
2023-2,002,5,Cleveland Cavaliers,95,1,mitchdo01 allenja01 garlada01 mobleev01 leverca01,osmande01 okorois01 greenda02 rubiori01 wadede01 stevela01 netora01 lopezro01,brunsja01 hartjo01 barrerj01 randlju01 robinmi01,quickim01 harteis01 toppiob01 grimequ01 mcbrimi01 jeffrda01 rosede01,New York Knicks
2023-3,003,1,Brooklyn Nets,101,0,dinwisp01 bridgmi01 johnsca02 onealro01 claxtni01,finnedo01 curryse01 harrijo01 sharpda01 thomaca02 watanyu01 dukeda01 millspa02 sumneed01,maxeyty01 hardeja01 harrito02 embiijo01 tuckepj01,meltode01 reedpa01 mcdanja01 niangge01 miltosh01 harremo01 houseda01 korkmfu01 sprinja01,Philadelphia 76ers
2023-3,003,1,Philadelphia 76ers,121,1,maxeyty01 hardeja01 harrito02 embiijo01 tuckepj01,meltode01 reedpa01 mcdanja01 niangge01 miltosh01 harremo01 houseda01 korkmfu01 sprinja01,dinwisp01 bridgmi01 johnsca02 onealro01 claxtni01,finnedo01 curryse01 harrijo01 sharpda01 thomaca02 watanyu01 dukeda01 millspa02 sumneed01,Philadelphia 76ers
2023-3,003,2,Brooklyn Nets,84,0,dinwisp01 bridgmi01 johnsca02 onealro01 claxtni01,finnedo01 curryse01 harrijo01 sharpda01 thomaca02 watanyu01 dukeda01 millspa02 sumneed01,maxeyty01 hardeja01 harrito02 embiijo01 tuckepj01,meltode01 reedpa01 mcdanja01 niangge01 miltosh01 harremo01 houseda01 korkmfu01 sprinja01,Philadelphia 76ers
2023-3,003,2,Philadelphia 76ers,96,1,maxeyty01 hardeja01 harrito02 embiijo01 tuckepj01,meltode01 reedpa01 mcdanja01 niangge01 miltosh01 harremo01 houseda01 korkmfu01 sprinja01,dinwisp01 bridgmi01 johnsca02 onealro01 claxtni01,finnedo01 curryse01 harrijo01 sharpda01 thomaca02 watanyu01 dukeda01 millspa02 sumneed01,Philadelphia 76ers
2023-3,003,3,Philadelphia 76ers,102,0,maxeyty01 hardeja01 harrito02 embiijo01 tuckepj01,meltode01 reedpa01 mcdanja01 niangge01 miltosh01 harremo01 houseda01 korkmfu01 sprinja01,dinwisp01 bridgmi01 johnsca02 onealro01 claxtni01,finnedo01 curryse01 harrijo01 sharpda01 thomaca02 watanyu01 dukeda01 millspa02 sumneed01,Philadelphia 76ers
