score,series_ID,starters_playoff_exp_diff,bench_playoff_exp_diff,at_home,team,reg_season_points,opp_reg_season_pa
80,449,-1726,-3409,0,Houston Rockets,101.1,
78,449,1726,3409,1,Utah Jazz,101.9,
83,449,1726,3409,0,Utah Jazz,101.9,
94,449,-1726,-3409,1,Houston Rockets,101.1,
108,421,9115,-5448,0,Chicago Bulls,101.5,
100,421,-9115,5448,1,Charlotte Hornets,100.6,
89,421,9115,-5448,0,Chicago Bulls,101.5,
106,421,-9115,5448,1,Charlotte Hornets,100.6,
80,421,-9115,5448,0,Charlotte Hornets,100.6,
103,421,9115,-5448,1,Chicago Bulls,101.5,
84,421,-9115,5448,0,Charlotte Hornets,100.6,
85,421,9115,-5448,1,Chicago Bulls,101.5,
82,422,-2899,-4205,0,Atlanta Hawks,96.6,
90,422,2899,4205,1,Indiana Pacers,99.2,
97,422,-2899,-4205,0,Atlanta Hawks,96.6,
105,422,2899,4205,1,Indiana Pacers,99.2,
105,422,2899,4205,0,Indiana Pacers,99.2,
89,422,-2899,-4205,1,Atlanta Hawks,96.6,
79,423,-8523,487,0,Cleveland Cavaliers,90.5,
103,423,8523,-487,1,New York Knicks,98.2,
90,423,-8523,487,0,Cleveland Cavaliers,90.5,
84,423,8523,-487,1,New York Knicks,98.2,
83,423,8523,-487,0,New York Knicks,98.2,
81,423,-8523,487,1,Cleveland Cavaliers,90.5,
93,423,8523,-487,0,New York Knicks,98.2,
80,423,-8523,487,1,Cleveland Cavaliers,90.5,
77,424,-1797,-884,0,Boston Celtics,102.8,
124,424,1797,884,1,Orlando Magic,110.9,
99,424,-1797,-884,0,Boston Celtics,102.8,
92,424,1797,884,1,Orlando Magic,110.9,
82,424,1797,884,0,Orlando Magic,110.9,
77,424,-1797,-884,1,Boston Celtics,102.8,
95,424,1797,884,0,Orlando Magic,110.9,
92,424,-1797,-884,1,Boston Celtics,102.8,
100,425,-267,-1658,0,Houston Rockets,103.5,
102,425,267,1658,1,Utah Jazz,106.4,
140,425,-267,-1658,0,Houston Rockets,103.5,
126,425,267,1658,1,Utah Jazz,106.4,
95,425,267,1658,0,Utah Jazz,106.4,
82,425,-267,-1658,1,Houston Rockets,103.5,
106,425,267,1658,0,Utah Jazz,106.4,
123,425,-267,-1658,1,Houston Rockets,103.5,
95,425,-267,-1658,0,Houston Rockets,103.5,
91,425,267,1658,1,Utah Jazz,106.4,
71,426,-6023,1002,0,Los Angeles Lakers,105.1,
96,426,6023,-1002,1,Seattle SuperSonics,110.4,
84,426,-6023,1002,0,Los Angeles Lakers,105.1,
82,426,6023,-1002,1,Seattle SuperSonics,110.4,
101,426,6023,-1002,0,Seattle SuperSonics,110.4,
105,426,-6023,1002,1,Los Angeles Lakers,105.1,
110,426,6023,-1002,0,Seattle SuperSonics,110.4,
114,426,-6023,1002,1,Los Angeles Lakers,105.1,
102,427,-4702,1708,0,Portland Trail Blazers,103.1,
129,427,4702,-1708,1,Phoenix Suns,110.6,
94,427,-4702,1708,0,Portland Trail Blazers,103.1,
103,427,4702,-1708,1,Phoenix Suns,110.6,
117,427,4702,-1708,0,Phoenix Suns,110.6,
109,427,-4702,1708,1,Portland Trail Blazers,103.1,
88,428,-3395,-2899,0,Denver Nuggets,101.3,
104,428,3395,2899,1,San Antonio Spurs,106.6,
96,428,-3395,-2899,0,Denver Nuggets,101.3,
122,428,3395,2899,1,San Antonio Spurs,106.6,
99,428,3395,2899,0,San Antonio Spurs,106.6,
95,428,-3395,-2899,1,Denver Nuggets,101.3,
107,429,-5961,3470,0,Indiana Pacers,99.2,
105,429,5961,-3470,1,New York Knicks,98.2,
77,429,-5961,3470,0,Indiana Pacers,99.2,
96,429,5961,-3470,1,New York Knicks,98.2,
95,429,5961,-3470,0,New York Knicks,98.2,
97,429,-5961,3470,1,Indiana Pacers,99.2,
84,429,5961,-3470,0,New York Knicks,98.2,
98,429,-5961,3470,1,Indiana Pacers,99.2,
95,429,-5961,3470,0,Indiana Pacers,99.2,
96,429,5961,-3470,1,New York Knicks,98.2,
92,429,5961,-3470,0,New York Knicks,98.2,
82,429,-5961,3470,1,Indiana Pacers,99.2,
97,429,-5961,3470,0,Indiana Pacers,99.2,
95,429,5961,-3470,1,New York Knicks,98.2,
91,430,6835,-641,0,Chicago Bulls,101.5,
94,430,-6835,641,1,Orlando Magic,110.9,
104,430,6835,-641,0,Chicago Bulls,101.5,
94,430,-6835,641,1,Orlando Magic,110.9,
110,430,-6835,641,0,Orlando Magic,110.9,
101,430,6835,-641,1,Chicago Bulls,101.5,
95,430,-6835,641,0,Orlando Magic,110.9,
106,430,6835,-641,1,Chicago Bulls,101.5,
95,430,6835,-641,0,Chicago Bulls,101.5,
103,430,-6835,641,1,Orlando Magic,110.9,
108,430,-6835,641,0,Orlando Magic,110.9,
102,430,6835,-641,1,Chicago Bulls,101.5,
108,431,-1761,-5538,0,Houston Rockets,103.5,
130,431,1761,5538,1,Phoenix Suns,110.6,
94,431,-1761,-5538,0,Houston Rockets,103.5,
118,431,1761,5538,1,Phoenix Suns,110.6,
85,431,1761,5538,0,Phoenix Suns,110.6,
118,431,-1761,-5538,1,Houston Rockets,103.5,
114,431,1761,5538,0,Phoenix Suns,110.6,
110,431,-1761,-5538,1,Houston Rockets,103.5,
103,431,-1761,-5538,0,Houston Rockets,103.5,
97,431,1761,5538,1,Phoenix Suns,110.6,
103,431,1761,5538,0,Phoenix Suns,110.6,
116,431,-1761,-5538,1,Houston Rockets,103.5,
115,431,-1761,-5538,0,Houston Rockets,103.5,
114,431,1761,5538,1,Phoenix Suns,110.6,
94,432,-4565,-3702,0,Los Angeles Lakers,105.1,
110,432,4565,3702,1,San Antonio Spurs,106.6,
90,432,-4565,-3702,0,Los Angeles Lakers,105.1,
97,432,4565,3702,1,San Antonio Spurs,106.6,
85,432,4565,3702,0,San Antonio Spurs,106.6,
92,432,-4565,-3702,1,Los Angeles Lakers,105.1,
80,432,4565,3702,0,San Antonio Spurs,106.6,
71,432,-4565,-3702,1,Los Angeles Lakers,105.1,
98,432,-4565,-3702,0,Los Angeles Lakers,105.1,
96,432,4565,3702,1,San Antonio Spurs,106.6,
100,432,4565,3702,0,San Antonio Spurs,106.6,
88,432,-4565,-3702,1,Los Angeles Lakers,105.1,
101,433,1168,5102,0,Indiana Pacers,99.2,
105,433,-1168,-5102,1,Orlando Magic,110.9,
114,433,1168,5102,0,Indiana Pacers,99.2,
119,433,-1168,-5102,1,Orlando Magic,110.9,
100,433,-1168,-5102,0,Orlando Magic,110.9,
105,433,1168,5102,1,Indiana Pacers,99.2,
93,433,-1168,-5102,0,Orlando Magic,110.9,
94,433,1168,5102,1,Indiana Pacers,99.2,
106,433,1168,5102,0,Indiana Pacers,99.2,
108,433,-1168,-5102,1,Orlando Magic,110.9,
96,433,-1168,-5102,0,Orlando Magic,110.9,
123,433,1168,5102,1,Indiana Pacers,99.2,
81,433,1168,5102,0,Indiana Pacers,99.2,
105,433,-1168,-5102,1,Orlando Magic,110.9,
94,434,4635,-4229,0,Houston Rockets,103.5,
93,434,-4635,4229,1,San Antonio Spurs,106.6,
106,434,4635,-4229,0,Houston Rockets,103.5,
96,434,-4635,4229,1,San Antonio Spurs,106.6,
107,434,-4635,4229,0,San Antonio Spurs,106.6,
102,434,4635,-4229,1,Houston Rockets,103.5,
103,434,-4635,4229,0,San Antonio Spurs,106.6,
81,434,4635,-4229,1,Houston Rockets,103.5,
111,434,4635,-4229,0,Houston Rockets,103.5,
90,434,-4635,4229,1,San Antonio Spurs,106.6,
95,434,-4635,4229,0,San Antonio Spurs,106.6,
100,434,4635,-4229,1,Houston Rockets,103.5,
92,406,-7433,-3630,0,Atlanta Hawks,98.3,
80,406,7433,3630,1,Indiana Pacers,99.3,
94,406,-7433,-3630,0,Atlanta Hawks,98.3,
102,406,7433,3630,1,Indiana Pacers,99.3,
83,406,7433,3630,0,Indiana Pacers,99.3,
90,406,-7433,-3630,1,Atlanta Hawks,98.3,
83,406,7433,3630,0,Indiana Pacers,99.3,
75,406,-7433,-3630,1,Atlanta Hawks,98.3,
89,406,-7433,-3630,0,Atlanta Hawks,98.3,
87,406,7433,3630,1,Indiana Pacers,99.3,
85,407,-10424,-4729,0,Miami Heat,96.5,
102,407,10424,4729,1,Chicago Bulls,105.2,
75,407,-10424,-4729,0,Miami Heat,96.5,
106,407,10424,4729,1,Chicago Bulls,105.2,
112,407,10424,4729,0,Chicago Bulls,105.2,
91,407,-10424,-4729,1,Miami Heat,96.5,
106,408,11649,-2307,0,New York Knicks,97.2,
83,408,-11649,2307,1,Cleveland Cavaliers,91.1,
84,408,11649,-2307,0,New York Knicks,97.2,
80,408,-11649,2307,1,Cleveland Cavaliers,91.1,
76,408,-11649,2307,0,Cleveland Cavaliers,91.1,
81,408,11649,-2307,1,New York Knicks,97.2,
92,409,-1656,-2390,0,Detroit Pistons,95.4,
112,409,1656,2390,1,Orlando Magic,104.5,
77,409,-1656,-2390,0,Detroit Pistons,95.4,
92,409,1656,2390,1,Orlando Magic,104.5,
101,409,1656,2390,0,Orlando Magic,104.5,
98,409,-1656,-2390,1,Detroit Pistons,95.4,
87,410,3248,-729,0,Houston Rockets,102.5,
83,410,-3248,729,1,Los Angeles Lakers,102.9,
94,410,3248,-729,0,Houston Rockets,102.5,
104,410,-3248,729,1,Los Angeles Lakers,102.9,
98,410,-3248,729,0,Los Angeles Lakers,102.9,
104,410,3248,-729,1,Houston Rockets,102.5,
94,410,-3248,729,0,Los Angeles Lakers,102.9,
102,410,3248,-729,1,Houston Rockets,102.5,
98,411,3896,-686,0,Phoenix Suns,104.3,
120,411,-3896,686,1,San Antonio Spurs,103.4,
105,411,3896,-686,0,Phoenix Suns,104.3,
110,411,-3896,686,1,San Antonio Spurs,103.4,
93,411,-3896,686,0,San Antonio Spurs,103.4,
94,411,3896,-686,1,Phoenix Suns,104.3,
116,411,-3896,686,0,San Antonio Spurs,103.4,
98,411,3896,-686,1,Phoenix Suns,104.3,
85,412,-6944,-2021,0,Sacramento Kings,99.5,
97,412,6944,2021,1,Seattle SuperSonics,104.5,
90,412,-6944,-2021,0,Sacramento Kings,99.5,
81,412,6944,2021,1,Seattle SuperSonics,104.5,
96,412,6944,2021,0,Seattle SuperSonics,104.5,
89,412,-6944,-2021,1,Sacramento Kings,99.5,
101,412,6944,2021,0,Seattle SuperSonics,104.5,
87,412,-6944,-2021,1,Sacramento Kings,99.5,
102,413,-6622,1759,0,Portland Trail Blazers,99.3,
110,413,6622,-1759,1,Utah Jazz,102.5,
90,413,-6622,1759,0,Portland Trail Blazers,99.3,
105,413,6622,-1759,1,Utah Jazz,102.5,
91,413,6622,-1759,0,Utah Jazz,102.5,
94,413,-6622,1759,1,Portland Trail Blazers,99.3,
90,413,6622,-1759,0,Utah Jazz,102.5,
98,413,-6622,1759,1,Portland Trail Blazers,99.3,
64,413,-6622,1759,0,Portland Trail Blazers,99.3,
102,413,6622,-1759,1,Utah Jazz,102.5,
84,414,116,-3682,0,New York Knicks,97.2,
91,414,-116,3682,1,Chicago Bulls,105.2,
80,414,116,-3682,0,New York Knicks,97.2,
91,414,-116,3682,1,Chicago Bulls,105.2,
99,414,-116,3682,0,Chicago Bulls,105.2,
102,414,116,-3682,1,New York Knicks,97.2,
94,414,-116,3682,0,Chicago Bulls,105.2,
91,414,116,-3682,1,New York Knicks,97.2,
81,414,116,-3682,0,New York Knicks,97.2,
94,414,-116,3682,1,Chicago Bulls,105.2,
105,415,-6303,-476,0,Atlanta Hawks,98.3,
117,415,6303,476,1,Orlando Magic,104.5,
94,415,-6303,-476,0,Atlanta Hawks,98.3,
120,415,6303,476,1,Orlando Magic,104.5,
103,415,6303,476,0,Orlando Magic,104.5,
96,415,-6303,-476,1,Atlanta Hawks,98.3,
99,415,6303,476,0,Orlando Magic,104.5,
104,415,-6303,-476,1,Atlanta Hawks,98.3,
88,415,-6303,-476,0,Atlanta Hawks,98.3,
96,415,6303,476,1,Orlando Magic,104.5,
75,416,5881,-264,0,Houston Rockets,102.5,
108,416,-5881,264,1,Seattle SuperSonics,104.5,
101,416,5881,-264,0,Houston Rockets,102.5,
105,416,-5881,264,1,Seattle SuperSonics,104.5,
115,416,-5881,264,0,Seattle SuperSonics,104.5,
112,416,5881,-264,1,Houston Rockets,102.5,
114,416,-5881,264,0,Seattle SuperSonics,104.5,
107,416,5881,-264,1,Houston Rockets,102.5,
95,417,3507,-54,0,Utah Jazz,102.5,
75,417,-3507,54,1,San Antonio Spurs,103.4,
77,417,3507,-54,0,Utah Jazz,102.5,
88,417,-3507,54,1,San Antonio Spurs,103.4,
75,417,-3507,54,0,San Antonio Spurs,103.4,
105,417,3507,-54,1,Utah Jazz,102.5,
86,417,-3507,54,0,San Antonio Spurs,103.4,
101,417,3507,-54,1,Utah Jazz,102.5,
87,417,3507,-54,0,Utah Jazz,102.5,
98,417,-3507,54,1,San Antonio Spurs,103.4,
81,417,-3507,54,0,San Antonio Spurs,103.4,
108,417,3507,-54,1,Utah Jazz,102.5,
83,418,-10197,1283,0,Orlando Magic,104.5,
121,418,10197,-1283,1,Chicago Bulls,105.2,
88,418,-10197,1283,0,Orlando Magic,104.5,
93,418,10197,-1283,1,Chicago Bulls,105.2,
86,418,10197,-1283,0,Chicago Bulls,105.2,
67,418,-10197,1283,1,Orlando Magic,104.5,
106,418,10197,-1283,0,Chicago Bulls,105.2,
101,418,-10197,1283,1,Orlando Magic,104.5,
72,419,1760,-633,0,Utah Jazz,102.5,
102,419,-1760,633,1,Seattle SuperSonics,104.5,
87,419,1760,-633,0,Utah Jazz,102.5,
91,419,-1760,633,1,Seattle SuperSonics,104.5,
76,419,-1760,633,0,Seattle SuperSonics,104.5,
96,419,1760,-633,1,Utah Jazz,102.5,
88,419,-1760,633,0,Seattle SuperSonics,104.5,
86,419,1760,-633,1,Utah Jazz,102.5,
98,419,1760,-633,0,Utah Jazz,102.5,
95,419,-1760,633,1,Seattle SuperSonics,104.5,
83,419,-1760,633,0,Seattle SuperSonics,104.5,
118,419,1760,-633,1,Utah Jazz,102.5,
86,419,1760,-633,0,Utah Jazz,102.5,
90,419,-1760,633,1,Seattle SuperSonics,104.5,
75,391,1500,3132,0,Detroit Pistons,94.2,
89,391,-1500,-3132,1,Atlanta Hawks,94.8,
93,391,1500,3132,0,Detroit Pistons,94.2,
80,391,-1500,-3132,1,Atlanta Hawks,94.8,
91,391,-1500,-3132,0,Atlanta Hawks,94.8,
99,391,1500,3132,1,Detroit Pistons,94.2,
94,391,-1500,-3132,0,Atlanta Hawks,94.8,
82,391,1500,3132,1,Detroit Pistons,94.2,
79,391,1500,3132,0,Detroit Pistons,94.2,
84,391,-1500,-3132,1,Atlanta Hawks,94.8,
86,392,-15318,-2252,0,Washington Bullets,99.4,
98,392,15318,2252,1,Chicago Bulls,103.1,
104,392,-15318,-2252,0,Washington Bullets,99.4,
109,392,15318,2252,1,Chicago Bulls,103.1,
96,392,15318,2252,0,Chicago Bulls,103.1,
95,392,-15318,-2252,1,Washington Bullets,99.4,
64,393,3052,-741,0,Orlando Magic,94.1,
99,393,-3052,741,1,Miami Heat,94.8,
87,393,3052,-741,0,Orlando Magic,94.1,
104,393,-3052,741,1,Miami Heat,94.8,
75,393,-3052,741,0,Miami Heat,94.8,
88,393,3052,-741,1,Orlando Magic,94.1,
91,393,-3052,741,0,Miami Heat,94.8,
99,393,3052,-741,1,Orlando Magic,94.1,
83,393,3052,-741,0,Orlando Magic,94.1,
91,393,-3052,741,1,Miami Heat,94.8,
99,394,-1766,-5008,0,Charlotte Hornets,98.9,
109,394,1766,5008,1,New York Knicks,95.4,
93,394,-1766,-5008,0,Charlotte Hornets,98.9,
100,394,1766,5008,1,New York Knicks,95.4,
104,394,1766,5008,0,New York Knicks,95.4,
95,394,-1766,-5008,1,Charlotte Hornets,98.9,
95,395,-15067,-2116,0,Minnesota Timberwolves,96.1,
112,395,15067,2116,1,Houston Rockets,100.6,
84,395,-15067,-2116,0,Minnesota Timberwolves,96.1,
96,395,15067,2116,1,Houston Rockets,100.6,
125,395,15067,2116,0,Houston Rockets,100.6,
120,395,-15067,-2116,1,Minnesota Timberwolves,96.1,
77,396,-3935,-6298,0,Portland Trail Blazers,99.0,
95,396,3935,6298,1,Los Angeles Lakers,100.0,
93,396,-3935,-6298,0,Portland Trail Blazers,99.0,
107,396,3935,6298,1,Los Angeles Lakers,100.0,
90,396,3935,6298,0,Los Angeles Lakers,100.0,
98,396,-3935,-6298,1,Portland Trail Blazers,99.0,
95,396,3935,6298,0,Los Angeles Lakers,100.0,
91,396,-3935,-6298,1,Portland Trail Blazers,99.0,
106,397,-7151,-947,0,Phoenix Suns,102.8,
101,397,7151,947,1,Seattle SuperSonics,100.9,
78,397,-7151,-947,0,Phoenix Suns,102.8,
122,397,7151,947,1,Seattle SuperSonics,100.9,
103,397,7151,947,0,Seattle SuperSonics,100.9,
110,397,-7151,-947,1,Phoenix Suns,102.8,
122,397,7151,947,0,Seattle SuperSonics,100.9,
115,397,-7151,-947,1,Phoenix Suns,102.8,
92,397,-7151,-947,0,Phoenix Suns,102.8,
116,397,7151,947,1,Seattle SuperSonics,100.9,
86,398,-12180,-1506,0,Los Angeles Clippers,97.2,
106,398,12180,1506,1,Utah Jazz,103.1,
99,398,-12180,-1506,0,Los Angeles Clippers,97.2,
105,398,12180,1506,1,Utah Jazz,103.1,
104,398,12180,1506,0,Utah Jazz,103.1,
92,398,-12180,-1506,1,Los Angeles Clippers,97.2,
97,399,-9295,-11240,0,Atlanta Hawks,94.8,
100,399,9295,11240,1,Chicago Bulls,103.1,
103,399,-9295,-11240,0,Atlanta Hawks,94.8,
95,399,9295,11240,1,Chicago Bulls,103.1,
100,399,9295,11240,0,Chicago Bulls,103.1,
80,399,-9295,-11240,1,Atlanta Hawks,94.8,
89,399,9295,11240,0,Chicago Bulls,103.1,
80,399,-9295,-11240,1,Atlanta Hawks,94.8,
92,399,-9295,-11240,0,Atlanta Hawks,94.8,
107,399,9295,11240,1,Chicago Bulls,103.1,
88,400,3681,5428,0,New York Knicks,95.4,
79,400,-3681,-5428,1,Miami Heat,94.8,
84,400,3681,5428,0,New York Knicks,95.4,
88,400,-3681,-5428,1,Miami Heat,94.8,
73,400,-3681,-5428,0,Miami Heat,94.8,
77,400,3681,5428,1,New York Knicks,95.4,
76,400,-3681,-5428,0,Miami Heat,94.8,
89,400,3681,5428,1,New York Knicks,95.4,
81,400,3681,5428,0,New York Knicks,95.4,
96,400,-3681,-5428,1,Miami Heat,94.8,
95,400,-3681,-5428,0,Miami Heat,94.8,
90,400,3681,5428,1,New York Knicks,95.4,
90,400,3681,5428,0,New York Knicks,95.4,
101,400,-3681,-5428,1,Miami Heat,94.8,
102,401,-2704,-1395,0,Seattle SuperSonics,100.9,
112,401,2704,1395,1,Houston Rockets,100.6,
106,401,-2704,-1395,0,Seattle SuperSonics,100.9,
101,401,2704,1395,1,Houston Rockets,100.6,
97,401,2704,1395,0,Houston Rockets,100.6,
93,401,-2704,-1395,1,Seattle SuperSonics,100.9,
110,401,2704,1395,0,Houston Rockets,100.6,
106,401,-2704,-1395,1,Seattle SuperSonics,100.9,
100,401,-2704,-1395,0,Seattle SuperSonics,100.9,
94,401,2704,1395,1,Houston Rockets,100.6,
96,401,2704,1395,0,Houston Rockets,100.6,
99,401,-2704,-1395,1,Seattle SuperSonics,100.9,
91,401,-2704,-1395,0,Seattle SuperSonics,100.9,
96,401,2704,1395,1,Houston Rockets,100.6,
77,402,-5724,5658,0,Los Angeles Lakers,100.0,
93,402,5724,-5658,1,Utah Jazz,103.1,
101,402,-5724,5658,0,Los Angeles Lakers,100.0,
103,402,5724,-5658,1,Utah Jazz,103.1,
84,402,5724,-5658,0,Utah Jazz,103.1,
104,402,-5724,5658,1,Los Angeles Lakers,100.0,
110,402,5724,-5658,0,Utah Jazz,103.1,
95,402,-5724,5658,1,Los Angeles Lakers,100.0,
93,402,-5724,5658,0,Los Angeles Lakers,100.0,
98,402,5724,-5658,1,Utah Jazz,103.1,
77,403,-11049,-1778,0,Miami Heat,94.8,
84,403,11049,1778,1,Chicago Bulls,103.1,
68,403,-11049,-1778,0,Miami Heat,94.8,
75,403,11049,1778,1,Chicago Bulls,103.1,
98,403,11049,1778,0,Chicago Bulls,103.1,
74,403,-11049,-1778,1,Miami Heat,94.8,
