Player ID,Player name,MP
piercri01,Ricky Pierce,158
humphja01,Jay Humphries,188
sikmaja01,Jack Sikma,168
cummite01,Terry Cummings,107
roberfr01,Fred Roberts,178
krystla01,Larry Krystkowiak,163
moncrsi01,Sidney Moncrief,109
mokespa01,Paul Mokeski,50
breuera01,Randy Breuer,66
greenri01,Rickey Green,60
brownto01,Tony Brown,3
wilkido01,Dominique Wilkins,212
malonmo01,Moses Malone,197
riverdo01,Doc Rivers,191
koncajo01,Jon Koncak,192
battljo01,John Battle,118
theusre01,Reggie Theus,127
carran01,Antoine Carr,81
levincl01,Cliff Levingston,77
webbsp01,Spud Webb,55
