Player ID,Player name,MP
chambto01,Tom Chambers,190
johnske02,Kevin Johnson,174
johnsed03,Eddie Johnson,132
hornaje01,Jeff Hornacek,191
majerda01,Dan Majerle,156
westma01,Mark West,169
mcgeemi01,Mike McGee,18
rambiku01,Kurt Rambis,114
perryti01,Tim Perry,14
grantgr01,Greg Grant,22
battlke01,Kenny Battle,6
langan01,Andrew Lang,14
malonka01,Karl Malone,203
baileth01,Thurl Bailey,190
stockjo01,John Stockton,194
hansebo01,Bob Hansen,145
griffda01,Darrell Griffith,97
edwarbl01,Blue Edwards,94
eatonma01,Mark Eaton,128
brownmi01,Mike Brown,67
leckner01,Eric Leckner,28
ruddde01,Delaney Rudd,45
brownra01,Raymond Brown,6
johnser01,Eric Johnson,3
