Player ID,Player name,MP
birdla01,Larry Bird,180
architi01,Tiny Archibald,146
parisro01,Robert Parish,115
maxwece01,Cedric Maxwell,134
mchalke01,Kevin McHale,88
fordch01,Chris Ford,133
carrml01,M.L. Carr,58
hendege01,Gerald Henderson,46
robeyri01,Rick Robey,56
duerote01,Terry Duerod,3
fernser01,Eric Fernsten,1
theusre01,Reggie Theus,150
greenda01,Dave Greenwood,130
gilmoar01,Artis Gilmore,162
soberri01,Ricky Sobers,107
jonesdw01,Dwight Jones,139
wilkebo01,Bob Wilkerson,95
kenonla01,Larry Kenon,74
dietrco01,Coby Dietrick,63
lestero01,Ronnie Lester,34
wilkeja02,James Wilkes,5
worthsa01,Sam Worthen,1
