Player ID,Player name,MP
hornaje01,Jeff Hornacek,127
johnske02,Kevin Johnson,130
cebalce01,Cedric Ceballos,88
perryti01,Tim Perry,78
burttst01,Steve Burtt,44
majerda01,Dan Majerle,61
chambto01,Tom Chambers,39
langan01,Andrew Lang,86
westma01,Mark West,40
nealyed01,Ed Nealy,27
cummite01,Terry Cummings,122
carran01,Antoine Carr,109
elliose01,Sean Elliott,137
stricro02,Rod Strickland,80
johnsvi01,Vinnie Johnson,69
royaldo01,Donald Royal,57
tucketr01,Trent Tucker,38
presspa01,Paul Pressey,46
greensi02,Sidney Green,47
suttogr01,Greg Sutton,15
