Player ID,Player name,MP
drexlcl01,Clyde Drexler,153
portete01,Terry Porter,149
robincl02,Clifford Robinson,111
willibu01,Buck Williams,157
kerseje01,Jerome Kersey,118
duckwke01,Kevin Duckworth,127
aingeda01,Danny Ainge,96
abdelal01,Alaa Abdelnaby,13
bryanma01,Mark Bryant,30
coopewa01,Wayne Cooper,7
whatlen01,Ennis Whatley,13
packro01,Robert Pack,11
scottby01,Byron Scott,148
teaglte01,Terry Teagle,126
threase01,Sedale Threatt,162
greenac01,A.C. Green,153
campbel01,Elden Campbell,117
divacvl01,Vlade Divac,143
brownch01,Chucky Brown,44
robincl01,Cliff Robinson,24
smithto02,Tony Smith,40
sparrro01,Rory Sparrow,16
haleyja01,Jack Haley,12
