Player ID,Player name,MP
drexlcl01,Clyde Drexler,209
portete01,Terry Porter,215
kerseje01,Jerome Kersey,192
duckwke01,Kevin Duckworth,150
aingeda01,Danny Ainge,110
robincl02,Clifford Robinson,120
willibu01,Buck Williams,180
whatlen01,Ennis Whatley,41
bryanma01,Mark Bryant,15
abdelal01,Alaa Abdelnaby,1
packro01,Robert Pack,17
johnske02,Kevin Johnson,205
majerda01,Dan Majerle,205
hornaje01,Jeff Hornacek,216
chambto01,Tom Chambers,155
cebalce01,Cedric Ceballos,100
perryti01,Tim Perry,107
langan01,Andrew Lang,106
burttst01,Steve Burtt,60
westma01,Mark West,56
nealyed01,Ed Nealy,40
