Player ID,Player name,MP
abdulka01,Kareem Abdul-Jabbar,202
wilkeja01,Jamaal Wilkes,196
nixonno01,Norm Nixon,190
johnsma02,Magic Johnson,204
coopemi01,Michael Cooper,137
haywosp01,Spencer Haywood,92
choneji01,Jim Chones,120
landsma01,Mark Landsberger,56
byrnema01,Marty Byrnes,7
hollabr01,Brad Holland,15
leebu01,Butch Lee,6
daviswa03,Walter Davis,155
westppa01,Paul Westphal,153
adamsal01,Alvan Adams,143
bratzmi01,Mike Bratz,93
busedo01,Don Buse,157
kelleri01,Rich Kelley,102
heardga01,Gar Heard,160
cookje01,Jeff Cook,75
scottal01,Alvin Scott,91
highjo01,Johnny High,82
robintr01,Truck Robinson,9
