Player ID,Player name,MP
cummite01,Terry Cummings,164
moncrsi01,Sidney Moncrief,168
presspa01,Paul Pressey,138
piercri01,Ricky Pierce,110
mokespa01,Paul Mokeski,95
hodgecr01,Craig Hodges,97
listeal01,Alton Lister,110
breuera01,Randy Breuer,45
davisch02,Charles Davis,32
greveke01,Kevin Grevey,1
jordami01,Michael Jordan,171
woolror01,Orlando Woolridge,167
dailequ01,Quintin Dailey,129
greenda01,Dave Greenwood,139
corzida01,Dave Corzine,77
greensi02,Sidney Green,54
matthwe01,Wes Matthews,91
oldhaja01,Jawann Oldham,91
jonesca01,Caldwell Jones,18
johnsst03,Steve Johnson,22
higgiro01,Rod Higgins,1
