Player ID,Player name,MP
abdulka01,Kareem Abdul-Jabbar,125
dantlad01,Adrian Dantley,79
wilkeja01,Jamaal Wilkes,114
nixonno01,Norm Nixon,120
boonero01,Ron Boone,66
hudsolo01,Lou Hudson,43
forddo01,Don Ford,63
priceji01,Jim Price,49
carrke01,Kenny Carr,37
robisda01,Dave Robisch,24
thompda01,David Thompson,122
isselda01,Dan Issel,109
bosweto01,Tom Boswell,120
scottch01,Charlie Scott,104
roberan01,Anthony Roberts,80
wilkebo01,Bob Wilkerson,101
ellisbo02,Bo Ellis,24
hugheki01,Kim Hughes,35
smithro01,Robert Smith,25
