Year,Points scored,Points allowed
Toronto Raptors,111.7,103.9
Boston Celtics,104.0,100.4
Philadelphia 76ers,109.8,105.3
Cleveland Cavaliers,110.9,109.9
Indiana Pacers,105.6,104.2
Miami Heat,103.4,102.9
Milwaukee Bucks,106.5,106.8
Washington Wizards,106.6,106.0
Detroit Pistons,103.8,103.9
Charlotte Hornets,108.2,108.0
New York Knicks,104.5,108.0
Brooklyn Nets,106.6,110.3
Chicago Bulls,102.9,110.0
Orlando Magic,103.4,108.2
Atlanta Hawks,103.4,108.8
Houston Rockets,112.4,103.9
Golden State Warriors,113.5,107.5
Portland Trail Blazers,105.6,103.0
Oklahoma City Thunder,107.9,104.4
Utah Jazz,104.1,99.8
New Orleans Pelicans,111.7,110.4
San Antonio Spurs,102.7,99.8
Minnesota Timberwolves,109.5,107.3
Denver Nuggets,110.0,108.5
Los Angeles Clippers,109.0,109.0
Los Angeles Lakers,108.1,109.6
Sacramento Kings,98.8,105.8
Dallas Mavericks,102.3,105.4
Memphis Grizzlies,99.3,105.5
Phoenix Suns,103.9,113.3
