Year,Points scored,Points allowed
Boston Celtics,108.0,105.4
Cleveland Cavaliers,110.3,107.2
Toronto Raptors,106.9,102.6
Washington Wizards,109.2,107.4
Atlanta Hawks,103.2,104.0
Milwaukee Bucks,103.6,103.8
Indiana Pacers,105.1,105.3
Chicago Bulls,102.9,102.4
Miami Heat,103.2,102.1
Detroit Pistons,101.3,102.5
Charlotte Hornets,104.9,104.7
New York Knicks,104.3,108.0
Orlando Magic,101.1,107.6
Philadelphia 76ers,102.4,108.1
Brooklyn Nets,105.8,112.5
Golden State Warriors,115.9,104.3
San Antonio Spurs,105.3,98.1
Houston Rockets,115.3,109.6
Los Angeles Clippers,108.7,104.4
Utah Jazz,100.7,96.8
Oklahoma City Thunder,106.6,105.8
Memphis Grizzlies,100.5,100.0
Portland Trail Blazers,107.9,108.5
Denver Nuggets,111.7,111.2
New Orleans Pelicans,104.3,106.4
Dallas Mavericks,97.9,100.8
Sacramento Kings,102.8,106.7
Minnesota Timberwolves,105.6,106.7
Los Angeles Lakers,104.6,111.5
Phoenix Suns,107.7,113.3
