Year,Points scored,Points allowed
Boston Celtics,99.2,95.6
Toronto Raptors,104.1,105.9
New York Knicks,102.1,105.9
Philadelphia 76ers,97.7,101.6
New Jersey Nets,92.4,101.5
Cleveland Cavaliers,102.1,95.6
Milwaukee Bucks,97.7,96.0
Chicago Bulls,97.5,99.1
Indiana Pacers,100.8,103.8
Detroit Pistons,94.0,99.1
Orlando Magic,102.8,95.3
Atlanta Hawks,101.7,97.0
Miami Heat,96.5,94.2
Charlotte Bobcats,95.3,93.8
Washington Wizards,96.2,101.0
Denver Nuggets,106.5,102.4
Utah Jazz,104.2,98.9
Portland Trail Blazers,98.1,94.8
Oklahoma City Thunder,101.5,98.0
Minnesota Timberwolves,98.2,107.8
Los Angeles Lakers,101.7,97.0
Phoenix Suns,110.2,105.3
Los Angeles Clippers,95.7,102.1
Golden State Warriors,108.8,112.4
Sacramento Kings,100.0,104.4
Dallas Mavericks,102.0,99.3
San Antonio Spurs,101.4,96.3
Houston Rockets,102.4,102.7
Memphis Grizzlies,102.5,104.0
New Orleans Hornets,100.2,102.7
