Year,Points scored,Points allowed
Philadelphia 76ers,113.6,108.1
Brooklyn Nets,118.6,114.1
Milwaukee Bucks,120.1,114.2
New York Knicks,107.0,104.7
Atlanta Hawks,113.7,111.4
Miami Heat,108.1,108.0
Boston Celtics,112.6,111.2
Washington Wizards,116.6,118.5
Indiana Pacers,115.3,115.3
Charlotte Hornets,109.5,111.4
Chicago Bulls,110.7,111.6
Toronto Raptors,111.3,111.7
Cleveland Cavaliers,103.8,112.3
Orlando Magic,104.0,113.3
Detroit Pistons,106.6,111.1
Utah Jazz,116.4,107.2
Phoenix Suns,115.3,109.5
Denver Nuggets,115.1,110.1
Los Angeles Clippers,114.0,107.8
Dallas Mavericks,112.4,110.2
Portland Trail Blazers,116.1,114.3
Los Angeles Lakers,109.5,106.8
Golden State Warriors,113.7,112.7
Memphis Grizzlies,113.3,112.3
San Antonio Spurs,111.1,112.8
New Orleans Pelicans,114.6,114.9
Sacramento Kings,113.7,117.4
Minnesota Timberwolves,112.1,117.7
Oklahoma City Thunder,105.0,115.6
Houston Rockets,108.8,116.7
