Year,Points scored,Points allowed
Cleveland Cavaliers,104.3,98.3
Toronto Raptors,102.7,98.2
Miami Heat,100.0,98.4
Atlanta Hawks,102.8,99.2
Boston Celtics,105.7,102.5
Charlotte Hornets,103.4,100.7
Indiana Pacers,102.2,100.5
Detroit Pistons,102.0,101.4
Chicago Bulls,101.6,103.1
Washington Wizards,104.1,104.6
Orlando Magic,102.1,103.7
Milwaukee Bucks,99.0,103.2
New York Knicks,98.4,101.1
Brooklyn Nets,98.6,106.0
Philadelphia 76ers,97.4,107.6
Golden State Warriors,114.9,104.1
San Antonio Spurs,103.5,92.9
Oklahoma City Thunder,110.2,102.9
Los Angeles Clippers,104.5,100.2
Portland Trail Blazers,105.1,104.3
Dallas Mavericks,102.3,102.6
Memphis Grizzlies,99.1,101.3
Houston Rockets,106.5,106.4
Utah Jazz,97.7,95.9
Sacramento Kings,106.6,109.1
Denver Nuggets,101.9,105.0
New Orleans Pelicans,102.7,106.5
Minnesota Timberwolves,102.4,106.0
Phoenix Suns,100.9,107.5
Los Angeles Lakers,97.3,106.9
