Year,Points scored,Points allowed
Boston Celtics,100.5,90.3
Toronto Raptors,100.2,97.3
Philadelphia 76ers,96.6,96.2
New Jersey Nets,95.8,100.9
New York Knicks,96.9,103.5
Detroit Pistons,97.5,90.1
Cleveland Cavaliers,96.4,96.7
Indiana Pacers,104.0,105.4
Chicago Bulls,97.3,100.4
Milwaukee Bucks,97.0,103.9
Orlando Magic,104.5,99.0
Washington Wizards,98.8,99.2
Atlanta Hawks,98.2,100.0
Charlotte Bobcats,97.1,101.4
Miami Heat,91.4,100.0
Utah Jazz,106.2,99.3
Denver Nuggets,110.7,107.0
Portland Trail Blazers,95.4,96.3
Minnesota Timberwolves,95.6,102.4
Seattle SuperSonics,97.5,106.3
Los Angeles Lakers,108.6,101.3
Phoenix Suns,110.1,105.0
Golden State Warriors,111.0,108.8
Sacramento Kings,102.5,104.8
Los Angeles Clippers,93.8,101.1
New Orleans Hornets,100.9,95.6
San Antonio Spurs,95.4,90.6
Houston Rockets,96.7,92.0
Dallas Mavericks,100.4,95.9
Memphis Grizzlies,100.7,106.9
