Year,Points scored,Points allowed
Toronto Raptors,104.0,100.9
Boston Celtics,101.4,101.2
Brooklyn Nets,98.0,100.9
Philadelphia 76ers,92.0,101.0
New York Knicks,91.9,101.2
Cleveland Cavaliers,103.1,98.7
Chicago Bulls,100.8,97.8
Milwaukee Bucks,97.8,97.4
Indiana Pacers,97.3,97.0
Detroit Pistons,98.5,99.5
Atlanta Hawks,102.5,97.1
Washington Wizards,98.5,97.8
Miami Heat,94.7,97.3
Charlotte Hornets,94.2,97.3
Orlando Magic,95.7,101.4
Portland Trail Blazers,102.8,98.6
Oklahoma City Thunder,104.0,101.8
Utah Jazz,95.1,94.9
Denver Nuggets,101.5,105.0
Minnesota Timberwolves,97.8,106.5
Golden State Warriors,110.0,99.9
Los Angeles Clippers,106.7,100.1
Phoenix Suns,102.4,103.3
Sacramento Kings,101.3,105.0
Los Angeles Lakers,98.5,105.3
Houston Rockets,103.9,100.5
Memphis Grizzlies,98.3,95.1
San Antonio Spurs,103.2,97.0
Dallas Mavericks,105.2,102.3
New Orleans Pelicans,99.4,98.6
