Year,Points scored,Points allowed
Miami Heat,95.0,90.0
New York Knicks,91.6,89.1
New Jersey Nets,99.6,98.1
Washington Wizards,97.2,96.6
Orlando Magic,90.1,91.2
Boston Celtics,95.9,98.5
Philadelphia 76ers,93.3,95.7
Chicago Bulls,96.7,89.6
Indiana Pacers,96.0,89.9
Charlotte Hornets,96.6,94.6
Atlanta Hawks,95.9,92.3
Cleveland Cavaliers,92.5,89.8
Detroit Pistons,94.2,92.6
Milwaukee Bucks,94.5,96.4
Toronto Raptors,94.9,104.2
Utah Jazz,101.0,94.4
San Antonio Spurs,92.5,88.5
Minnesota Timberwolves,101.1,100.4
Houston Rockets,98.8,99.5
Dallas Mavericks,91.4,97.5
Vancouver Grizzlies,96.6,103.9
Denver Nuggets,89.0,100.8
Seattle SuperSonics,100.6,93.4
Los Angeles Lakers,105.5,97.8
Phoenix Suns,99.6,94.4
Portland Trail Blazers,94.3,92.9
Sacramento Kings,93.1,98.7
Golden State Warriors,88.3,97.4
Los Angeles Clippers,95.9,103.3
