Year,Points scored,Points allowed
Boston Celtics,100.9,93.4
Philadelphia 76ers,97.4,97.3
New Jersey Nets,98.1,100.5
Toronto Raptors,99.0,101.9
New York Knicks,105.2,107.8
Cleveland Cavaliers,100.3,91.4
Chicago Bulls,102.2,102.5
Detroit Pistons,94.2,94.7
Indiana Pacers,105.1,106.2
Milwaukee Bucks,99.3,100.4
Orlando Magic,101.0,94.4
Atlanta Hawks,98.1,96.5
Miami Heat,98.3,98.0
Charlotte Bobcats,93.6,94.9
Washington Wizards,96.1,103.5
Denver Nuggets,104.3,100.9
Portland Trail Blazers,99.4,94.1
Utah Jazz,103.6,100.9
Minnesota Timberwolves,97.8,102.7
Oklahoma City Thunder,97.0,103.1
Los Angeles Lakers,106.9,99.3
Phoenix Suns,109.4,107.5
Golden State Warriors,108.6,112.3
Los Angeles Clippers,95.1,103.9
Sacramento Kings,100.6,109.3
San Antonio Spurs,97.0,93.3
Houston Rockets,98.4,94.4
Dallas Mavericks,101.7,99.8
New Orleans Hornets,95.8,94.3
Memphis Grizzlies,93.9,99.3
