Year,Points scored,Points allowed
Toronto Raptors,99.5,98.5
New Jersey Nets,97.6,98.3
Philadelphia 76ers,94.9,98.0
New York Knicks,97.5,100.3
Boston Celtics,95.8,99.2
Detroit Pistons,96.0,91.8
Cleveland Cavaliers,96.8,92.9
Chicago Bulls,98.8,93.8
Indiana Pacers,95.6,98.0
Milwaukee Bucks,99.7,104.0
Miami Heat,94.6,95.5
Washington Wizards,104.3,104.9
Orlando Magic,94.8,94.0
Charlotte Bobcats,96.9,100.6
Atlanta Hawks,93.7,98.4
Utah Jazz,101.5,98.6
Denver Nuggets,105.4,103.7
Portland Trail Blazers,94.1,98.4
Minnesota Timberwolves,96.1,99.7
Seattle SuperSonics,99.1,102.0
Phoenix Suns,110.2,102.9
Los Angeles Lakers,103.3,103.4
Golden State Warriors,106.5,106.9
Los Angeles Clippers,95.6,96.1
Sacramento Kings,101.3,103.1
Dallas Mavericks,100.0,92.8
San Antonio Spurs,98.5,90.1
Houston Rockets,97.0,92.1
New Orleans/Oklahoma City Hornets,95.5,97.1
Memphis Grizzlies,101.6,106.7
