Year,Points scored,Points allowed
Boston Celtics,91.8,89.3
New York Knicks,97.8,94.7
Philadelphia 76ers,93.6,89.4
Toronto Raptors,90.7,94.0
New Jersey Nets,93.1,99.1
Chicago Bulls,96.3,88.2
Indiana Pacers,97.7,94.4
Milwaukee Bucks,99.0,98.7
Detroit Pistons,90.9,95.7
Cleveland Cavaliers,93.0,100.2
Miami Heat,98.5,92.5
Atlanta Hawks,96.6,93.2
Orlando Magic,94.2,93.4
Washington Wizards,93.6,98.4
Charlotte Bobcats,87.0,100.9
Oklahoma City Thunder,103.1,96.9
Denver Nuggets,104.1,101.2
Utah Jazz,99.7,99.0
Portland Trail Blazers,97.2,97.8
Minnesota Timberwolves,97.9,100.1
Los Angeles Lakers,97.3,95.9
Los Angeles Clippers,97.5,95.0
Phoenix Suns,98.4,98.6
Golden State Warriors,97.8,101.2
Sacramento Kings,98.8,104.4
San Antonio Spurs,103.7,96.5
Memphis Grizzlies,95.0,93.0
Dallas Mavericks,95.8,94.8
Houston Rockets,98.1,97.9
New Orleans Hornets,89.6,93.4
