Year,Points scored,Points allowed
New Jersey Nets,93.8,92.4
Philadelphia 76ers,99.4,101.3
Boston Celtics,98.0,99.5
Toronto Raptors,101.1,104.0
New York Knicks,95.6,102.0
Detroit Pistons,96.8,90.2
Cleveland Cavaliers,97.6,95.4
Indiana Pacers,93.9,92.0
Chicago Bulls,97.8,97.2
Milwaukee Bucks,97.8,98.8
Miami Heat,99.9,96.0
Washington Wizards,101.7,99.8
Orlando Magic,94.9,96.0
Charlotte Bobcats,96.9,100.9
Atlanta Hawks,97.2,102.0
Denver Nuggets,100.3,100.1
Utah Jazz,92.4,95.0
Seattle SuperSonics,102.6,105.6
Minnesota Timberwolves,91.7,93.6
Portland Trail Blazers,88.8,98.3
Phoenix Suns,108.4,102.8
Los Angeles Clippers,97.2,95.6
Los Angeles Lakers,99.4,96.9
Sacramento Kings,98.9,97.3
Golden State Warriors,98.5,99.8
San Antonio Spurs,95.6,88.8
Dallas Mavericks,99.1,93.1
Memphis Grizzlies,92.2,88.5
New Orleans/Oklahoma City Hornets,92.8,95.6
Houston Rockets,90.1,91.7
