Year,Points scored,Points allowed
Milwaukee Bucks,116.9,113.3
Boston Celtics,117.9,111.4
Philadelphia 76ers,115.2,110.9
Cleveland Cavaliers,112.3,106.9
New York Knicks,116.0,113.1
Brooklyn Nets,113.4,112.5
Miami Heat,109.5,109.8
Atlanta Hawks,118.4,118.1
Toronto Raptors,112.9,111.4
Chicago Bulls,113.1,111.8
Indiana Pacers,116.3,119.5
Washington Wizards,113.2,114.4
Orlando Magic,111.4,114.0
Charlotte Hornets,111.0,117.2
Detroit Pistons,110.3,118.5
Denver Nuggets,115.8,112.5
Memphis Grizzlies,116.9,113.0
Sacramento Kings,120.7,118.1
Phoenix Suns,113.6,111.6
Los Angeles Clippers,113.6,113.1
Golden State Warriors,118.9,117.1
Los Angeles Lakers,117.2,116.6
Minnesota Timberwolves,115.8,115.8
New Orleans Pelicans,114.4,112.5
Oklahoma City Thunder,117.5,116.4
Dallas Mavericks,114.2,114.1
Utah Jazz,117.1,118.0
Portland Trail Blazers,113.4,117.4
Houston Rockets,110.7,118.6
San Antonio Spurs,113.0,123.1
