Year,Points scored,Points allowed
Orlando Magic,104.5,99.0
New York Knicks,97.2,94.9
Miami Heat,96.5,95.0
Washington Bullets,102.5,101.5
Boston Celtics,103.6,107.0
New Jersey Nets,93.7,97.9
Philadelphia 76ers,94.5,104.5
Chicago Bulls,105.2,92.9
Indiana Pacers,99.3,96.1
Cleveland Cavaliers,91.1,88.5
Atlanta Hawks,98.3,97.1
Detroit Pistons,95.4,92.9
Charlotte Hornets,102.8,103.4
Milwaukee Bucks,95.6,100.9
Toronto Raptors,97.5,105.0
San Antonio Spurs,103.4,97.1
Utah Jazz,102.5,95.9
Houston Rockets,102.5,100.7
Denver Nuggets,97.7,100.4
Minnesota Timberwolves,97.9,103.2
Dallas Mavericks,102.5,107.5
Vancouver Grizzlies,89.8,99.8
Seattle SuperSonics,104.5,96.7
Los Angeles Lakers,102.9,98.5
Portland Trail Blazers,99.3,97.0
Phoenix Suns,104.3,104.0
Sacramento Kings,99.5,102.3
Golden State Warriors,101.6,103.1
Los Angeles Clippers,99.4,103.0
