Year,Points scored,Points allowed
Orlando Magic,110.9,103.8
New York Knicks,98.2,95.1
Boston Celtics,102.8,104.7
Miami Heat,101.1,102.8
New Jersey Nets,98.1,101.2
Philadelphia 76ers,95.4,100.4
Washington Bullets,100.5,106.1
Indiana Pacers,99.2,95.5
Charlotte Hornets,100.6,97.3
Chicago Bulls,101.5,96.7
Cleveland Cavaliers,90.5,89.8
Atlanta Hawks,96.6,95.3
Milwaukee Bucks,99.3,103.7
Detroit Pistons,98.2,105.5
San Antonio Spurs,106.6,100.6
Utah Jazz,106.4,98.4
Houston Rockets,103.5,101.4
Denver Nuggets,101.3,100.5
Dallas Mavericks,103.2,106.1
Minnesota Timberwolves,94.2,103.2
Phoenix Suns,110.6,106.8
Seattle SuperSonics,110.4,102.2
Los Angeles Lakers,105.1,105.3
Portland Trail Blazers,103.1,99.2
Sacramento Kings,98.2,99.2
Golden State Warriors,105.7,111.1
Los Angeles Clippers,96.7,105.8
