Year,Points scored,Points allowed
Boston Celtics,96.5,91.1
New York Knicks,106.5,105.7
Philadelphia 76ers,99.0,97.5
New Jersey Nets,94.2,100.4
Toronto Raptors,99.1,105.4
Chicago Bulls,98.6,91.3
Indiana Pacers,99.8,100.9
Milwaukee Bucks,91.9,92.7
Detroit Pistons,97.0,100.6
Cleveland Cavaliers,95.5,104.5
Miami Heat,102.1,94.6
Orlando Magic,99.2,93.7
Atlanta Hawks,95.0,95.8
Charlotte Bobcats,93.3,97.3
Washington Wizards,97.3,104.7
Oklahoma City Thunder,104.8,101.0
Denver Nuggets,107.5,102.7
Portland Trail Blazers,96.3,94.8
Utah Jazz,99.4,101.3
Minnesota Timberwolves,101.1,107.7
Los Angeles Lakers,101.5,95.4
Phoenix Suns,105.0,105.9
Golden State Warriors,103.4,105.7
Los Angeles Clippers,98.6,101.8
Sacramento Kings,99.4,104.7
San Antonio Spurs,103.7,98.0
Dallas Mavericks,100.2,96.0
New Orleans Hornets,94.9,94.0
Memphis Grizzlies,99.9,97.6
Houston Rockets,105.9,103.7
