Year,Points scored,Points allowed
Miami Heat,110.0,105.6
Boston Celtics,111.8,104.5
Milwaukee Bucks,115.5,112.1
Philadelphia 76ers,109.9,107.3
Toronto Raptors,109.4,107.1
Chicago Bulls,111.6,112.0
Brooklyn Nets,112.9,112.1
Cleveland Cavaliers,107.8,105.7
Atlanta Hawks,113.9,112.4
Charlotte Hornets,115.3,114.9
New York Knicks,106.5,106.6
Washington Wizards,108.6,112.0
Indiana Pacers,111.5,114.9
Detroit Pistons,104.8,112.5
Orlando Magic,104.2,112.2
Phoenix Suns,114.8,107.3
Memphis Grizzlies,115.6,109.9
Golden State Warriors,111.0,105.5
Dallas Mavericks,108.0,104.7
Utah Jazz,113.6,107.6
Denver Nuggets,112.7,110.4
Minnesota Timberwolves,115.9,113.3
Los Angeles Clippers,108.4,108.4
New Orleans Pelicans,109.3,110.3
San Antonio Spurs,113.2,113.0
Los Angeles Lakers,112.1,115.1
Sacramento Kings,110.3,115.8
Portland Trail Blazers,106.2,115.1
Oklahoma City Thunder,103.7,111.8
Houston Rockets,109.7,118.2
