Year,Points scored,Points allowed
Boston Celtics,101.3,100.4
Philadelphia 76ers,99.1,99.9
New Jersey Nets,91.4,92.9
Toronto Raptors,99.7,101.4
New York Knicks,97.3,99.7
Detroit Pistons,93.3,89.5
Chicago Bulls,94.5,93.4
Indiana Pacers,93.0,92.2
Cleveland Cavaliers,96.5,95.7
Milwaukee Bucks,97.2,100.2
Miami Heat,101.5,95.0
Washington Wizards,100.5,100.8
Orlando Magic,99.5,101.8
Charlotte Bobcats,94.3,100.2
Atlanta Hawks,92.7,102.5
Seattle SuperSonics,98.9,96.6
Denver Nuggets,99.5,97.5
Minnesota Timberwolves,96.8,95.3
Portland Trail Blazers,92.9,96.9
Utah Jazz,93.0,97.3
Phoenix Suns,110.4,103.3
Sacramento Kings,103.7,101.6
Los Angeles Clippers,95.7,96.5
Los Angeles Lakers,98.7,101.7
Golden State Warriors,98.7,100.9
San Antonio Spurs,96.2,88.4
Dallas Mavericks,102.5,96.8
Houston Rockets,95.1,91.0
Memphis Grizzlies,93.4,91.1
New Orleans Hornets,88.4,95.5
