Year,Points scored,Points allowed
New Jersey Nets,96.2,92.0
Boston Celtics,96.4,94.1
Orlando Magic,100.5,98.9
Philadelphia 76ers,91.0,89.4
Washington Wizards,92.8,94.2
Miami Heat,87.2,88.7
New York Knicks,91.6,95.6
Detroit Pistons,94.3,92.2
Charlotte Hornets,93.9,92.9
Toronto Raptors,91.4,91.8
Indiana Pacers,96.8,96.5
Milwaukee Bucks,97.5,97.7
Atlanta Hawks,94.0,98.3
Cleveland Cavaliers,95.3,98.6
Chicago Bulls,89.5,98.0
San Antonio Spurs,96.7,90.5
Dallas Mavericks,105.2,101.0
Minnesota Timberwolves,99.3,96.0
Utah Jazz,96.0,95.1
Houston Rockets,92.3,97.2
Denver Nuggets,92.2,98.0
Memphis Grizzlies,89.9,97.3
Sacramento Kings,104.6,97.0
Los Angeles Lakers,101.3,94.1
Portland Trail Blazers,96.6,93.7
Seattle SuperSonics,97.7,94.7
Los Angeles Clippers,95.7,96.1
Phoenix Suns,95.1,95.8
Golden State Warriors,97.7,103.1
