Year,Points scored,Points allowed
New York Knicks,98.5,91.5
Orlando Magic,105.7,101.8
New Jersey Nets,103.2,101.0
Miami Heat,103.4,100.7
Boston Celtics,100.8,105.1
Philadelphia 76ers,98.0,105.6
Washington Bullets,100.4,107.7
Atlanta Hawks,101.4,96.2
Chicago Bulls,98.0,94.9
Indiana Pacers,101.0,97.5
Cleveland Cavaliers,101.2,97.1
Charlotte Hornets,106.5,106.7
Milwaukee Bucks,96.9,103.4
Detroit Pistons,96.9,104.7
Houston Rockets,101.1,96.8
San Antonio Spurs,100.0,94.8
Utah Jazz,101.9,97.7
Denver Nuggets,100.3,98.8
Minnesota Timberwolves,96.7,103.6
Dallas Mavericks,95.1,103.8
Seattle SuperSonics,105.9,96.9
Phoenix Suns,108.2,103.4
Golden State Warriors,107.9,106.1
Portland Trail Blazers,107.3,104.6
Los Angeles Lakers,100.4,104.7
Sacramento Kings,101.1,106.9
Los Angeles Clippers,103.0,108.7
