Year,Points scored,Points allowed
Miami Heat,89.0,84.0
Orlando Magic,89.5,86.9
Philadelphia 76ers,89.7,87.6
New York Knicks,86.4,85.4
Boston Celtics,93.0,94.9
Washington Wizards,91.2,93.4
New Jersey Nets,91.4,95.2
Indiana Pacers,94.7,90.9
Atlanta Hawks,86.3,83.4
Detroit Pistons,90.4,86.9
Milwaukee Bucks,91.7,90.0
Charlotte Hornets,92.9,93.0
Toronto Raptors,91.1,92.8
Cleveland Cavaliers,86.4,88.2
Chicago Bulls,81.9,91.4
San Antonio Spurs,92.8,84.7
Utah Jazz,93.3,86.8
Houston Rockets,94.2,91.9
Minnesota Timberwolves,92.9,92.6
Dallas Mavericks,91.6,94.0
Denver Nuggets,93.5,100.1
Vancouver Grizzlies,88.9,97.5
Portland Trail Blazers,94.8,88.5
Los Angeles Lakers,99.0,96.0
Phoenix Suns,95.6,93.3
Sacramento Kings,100.2,100.6
Seattle SuperSonics,94.9,95.9
Golden State Warriors,88.3,90.8
Los Angeles Clippers,90.4,99.2
