Year,Points scored,Points allowed
New York Knicks,100.0,95.7
Brooklyn Nets,96.9,95.1
Boston Celtics,96.5,96.7
Philadelphia 76ers,93.2,96.5
Toronto Raptors,97.2,98.7
Indiana Pacers,94.7,90.7
Chicago Bulls,93.2,92.9
Milwaukee Bucks,98.9,100.4
Detroit Pistons,94.9,98.8
Cleveland Cavaliers,96.5,101.2
Miami Heat,102.9,95.0
Atlanta Hawks,98.0,97.5
Washington Wizards,93.2,95.8
Charlotte Bobcats,93.4,102.7
Orlando Magic,94.1,101.1
Oklahoma City Thunder,105.7,96.5
Denver Nuggets,106.1,101.1
Utah Jazz,98.0,98.1
Portland Trail Blazers,97.5,100.7
Minnesota Timberwolves,95.7,98.1
Los Angeles Clippers,101.1,94.6
Golden State Warriors,101.2,100.3
Los Angeles Lakers,102.2,101.0
Sacramento Kings,100.2,105.1
Phoenix Suns,95.2,101.6
San Antonio Spurs,103.0,96.6
Memphis Grizzlies,93.4,89.3
Houston Rockets,106.0,102.5
Dallas Mavericks,101.1,101.7
New Orleans Hornets,94.1,97.9
