Year,Points scored,Points allowed
Toronto Raptors,101.3,98.0
Brooklyn Nets,98.5,99.5
New York Knicks,98.6,99.4
Boston Celtics,96.2,100.7
Philadelphia 76ers,99.5,109.9
Indiana Pacers,96.7,92.3
Chicago Bulls,93.7,91.8
Cleveland Cavaliers,98.2,101.5
Detroit Pistons,101.0,104.7
Milwaukee Bucks,95.5,103.7
Miami Heat,102.2,97.4
Washington Wizards,100.7,99.4
Charlotte Bobcats,96.9,97.1
Atlanta Hawks,101.0,101.5
Orlando Magic,96.5,102.0
Oklahoma City Thunder,106.2,99.8
Portland Trail Blazers,106.7,102.8
Minnesota Timberwolves,106.9,104.3
Denver Nuggets,104.4,106.5
Utah Jazz,95.0,102.2
Los Angeles Clippers,107.9,101.0
Golden State Warriors,104.3,99.5
Phoenix Suns,105.2,102.6
Sacramento Kings,100.5,103.4
Los Angeles Lakers,103.0,109.2
San Antonio Spurs,105.4,97.6
Houston Rockets,107.7,103.1
Memphis Grizzlies,96.1,94.6
Dallas Mavericks,104.8,102.4
New Orleans Pelicans,99.7,102.4
