Year,Points scored,Points allowed
Milwaukee Bucks,118.7,108.6
Toronto Raptors,112.8,106.5
Boston Celtics,113.7,107.3
Indiana Pacers,109.4,107.5
Miami Heat,112.0,109.1
Philadelphia 76ers,110.7,108.4
Brooklyn Nets,111.8,112.3
Orlando Magic,107.3,108.3
Charlotte Hornets,102.9,109.6
Washington Wizards,114.4,119.1
Chicago Bulls,106.8,109.9
New York Knicks,105.8,112.3
Detroit Pistons,107.2,110.8
Atlanta Hawks,111.8,119.7
Cleveland Cavaliers,106.9,114.8
Los Angeles Lakers,113.4,107.6
Los Angeles Clippers,116.3,109.9
Denver Nuggets,111.3,109.2
Houston Rockets,117.8,114.8
Oklahoma City Thunder,110.4,108.4
Utah Jazz,111.3,108.8
Dallas Mavericks,117.0,112.1
Portland Trail Blazers,115.0,116.1
Memphis Grizzlies,112.6,113.7
Phoenix Suns,113.6,113.4
San Antonio Spurs,114.1,115.2
Sacramento Kings,110.1,112.1
New Orleans Pelicans,115.8,117.1
Minnesota Timberwolves,113.3,117.5
Golden State Warriors,106.3,115.0
