Year,Points scored,Points allowed
Philadelphia 76ers,94.7,90.4
Miami Heat,88.9,86.6
New York Knicks,88.7,86.1
Orlando Magic,97.5,96.5
Boston Celtics,94.6,96.8
New Jersey Nets,92.1,97.1
Washington Wizards,93.2,99.9
Milwaukee Bucks,100.7,96.9
Toronto Raptors,97.6,95.4
Charlotte Hornets,91.9,89.8
Indiana Pacers,92.6,92.8
Detroit Pistons,95.6,97.3
Cleveland Cavaliers,92.2,96.5
Atlanta Hawks,91.0,96.2
Chicago Bulls,87.6,96.7
San Antonio Spurs,96.2,88.4
Utah Jazz,97.1,92.4
Dallas Mavericks,100.5,96.2
Minnesota Timberwolves,97.3,96.0
Houston Rockets,97.2,94.9
Denver Nuggets,96.6,99.0
Vancouver Grizzlies,91.7,97.5
Los Angeles Lakers,100.6,97.2
Sacramento Kings,101.7,95.9
Phoenix Suns,94.0,91.8
Portland Trail Blazers,95.4,91.2
Seattle SuperSonics,97.3,97.3
Los Angeles Clippers,92.5,95.3
Golden State Warriors,92.5,101.5
