Year,Points scored,Points allowed
New Jersey Nets,90.3,87.8
Miami Heat,90.3,89.7
New York Knicks,92.0,93.5
Boston Celtics,95.3,96.7
Philadelphia 76ers,88.0,90.5
Washington Wizards,91.8,97.4
Orlando Magic,94.0,101.1
Indiana Pacers,91.4,85.6
Detroit Pistons,90.1,84.3
New Orleans Hornets,91.8,91.9
Milwaukee Bucks,98.0,97.0
Cleveland Cavaliers,92.9,95.5
Toronto Raptors,85.4,88.5
Atlanta Hawks,92.8,97.5
Chicago Bulls,89.7,96.0
Minnesota Timberwolves,94.5,89.1
San Antonio Spurs,91.5,84.3
Dallas Mavericks,105.2,100.8
Memphis Grizzlies,96.7,94.3
Houston Rockets,89.8,88.0
Denver Nuggets,97.2,96.1
Utah Jazz,88.7,89.9
Los Angeles Lakers,98.2,94.3
Sacramento Kings,102.8,97.8
Portland Trail Blazers,90.7,92.0
Golden State Warriors,93.3,94.0
Seattle SuperSonics,97.1,97.8
Phoenix Suns,94.2,97.9
Los Angeles Clippers,94.8,99.4
