Year,Points scored,Points allowed
Miami Heat,94.4,91.3
New York Knicks,92.1,90.7
Philadelphia 76ers,94.8,93.4
Orlando Magic,100.1,99.4
Boston Celtics,99.3,100.1
New Jersey Nets,98.0,99.0
Washington Wizards,96.6,99.9
Indiana Pacers,101.3,96.7
Charlotte Hornets,98.4,95.8
Toronto Raptors,97.2,97.3
Detroit Pistons,103.5,102.0
Milwaukee Bucks,101.2,101.0
Cleveland Cavaliers,97.0,100.5
Atlanta Hawks,94.3,99.7
Chicago Bulls,84.8,94.2
Utah Jazz,96.5,92.0
San Antonio Spurs,96.2,90.2
Minnesota Timberwolves,98.5,96.0
Dallas Mavericks,101.4,102.0
Denver Nuggets,99.0,101.1
Houston Rockets,99.5,100.3
Vancouver Grizzlies,93.9,99.5
Los Angeles Lakers,100.8,92.3
Portland Trail Blazers,97.5,91.0
Phoenix Suns,98.9,93.7
Seattle SuperSonics,99.1,98.1
Sacramento Kings,105.0,102.0
Golden State Warriors,95.5,103.8
Los Angeles Clippers,92.0,103.5
