Year,Points scored,Points allowed
New Jersey Nets,95.4,90.1
Philadelphia 76ers,96.8,94.5
Boston Celtics,92.7,93.1
Orlando Magic,98.5,98.4
Washington Wizards,91.5,92.5
New York Knicks,95.9,97.2
Miami Heat,85.6,90.6
Detroit Pistons,91.4,87.7
Indiana Pacers,96.8,93.3
New Orleans Hornets,93.9,91.8
Milwaukee Bucks,99.5,99.3
Atlanta Hawks,94.1,97.6
Chicago Bulls,95.0,100.1
Toronto Raptors,90.9,96.8
Cleveland Cavaliers,91.4,101.0
San Antonio Spurs,95.8,90.4
Dallas Mavericks,103.0,95.2
Minnesota Timberwolves,98.1,96.0
Utah Jazz,94.7,92.3
Houston Rockets,93.8,92.3
Memphis Grizzlies,97.5,100.7
Denver Nuggets,84.2,92.4
Sacramento Kings,101.7,95.2
Los Angeles Lakers,100.4,98.0
Portland Trail Blazers,95.2,92.5
Phoenix Suns,95.5,94.4
Seattle SuperSonics,92.1,92.3
Golden State Warriors,102.4,103.6
Los Angeles Clippers,93.8,97.9
