Player ID,Player name,MP
tatumja01,Jayson Tatum,253
brownja02,Jaylen Brown,246
walkeke02,Kemba Walker,215
smartma01,Marcus Smart,229
theisda01,Daniel Theis,178
haywago01,Gordon Hayward,123
wanambr01,Brad Wanamaker,85
kanteen01,Enes Freedom,34
willigr01,Grant Williams,50
williro04,Robert Williams,27
ojelese01,Semi Ojeleye,23
langfro01,Romeo Langford,1
adebaba01,Bam Adebayo,234
dragigo01,Goran Dragić,207
herroty01,Tyler Herro,208
butleji01,Jimmy Butler,230
robindu01,Duncan Robinson,171
crowdja01,Jae Crowder,201
iguodan01,Andre Iguodala,103
olynyke01,Kelly Olynyk,40
jonesde02,Derrick Jones Jr.,31
nunnke01,Kendrick Nunn,23
hillso01,Solomon Hill,17
