Player ID,Player name,MP
onealsh01,Shaquille O'Neal,184
hardaan01,Anfernee Hardaway,183
grantho01,Horace Grant,190
anderni01,Nick Anderson,190
scottde01,Dennis Scott,185
shawbr01,Brian Shaw,105
wolfjo01,Joe Wolf,44
bowiean01,Anthony Bowie,51
royaldo01,Donald Royal,19
bonnean01,Anthony Bonner,3
thompbr01,Brooks Thompson,3
koncajo01,Jon Koncak,43
smithst01,Steve Smith,214
blaylmo01,Mookie Blaylock,207
laettch01,Christian Laettner,157
augmost01,Stacey Augmon,162
longgr01,Grant Long,174
hendeal01,Alan Henderson,69
rooksse01,Sean Rooks,79
ehlocr01,Craig Ehlo,77
jordare01,Reggie Jordan,33
bullama01,Matt Bullard,26
boycedo01,Donnie Boyce,2
