Player ID,Player name,MP
jordami01,Michael Jordan,204
pippesc01,Scottie Pippen,205
longllu01,Luc Longley,129
kerrst01,Steve Kerr,124
kukocto01,Toni Kukoč,109
rodmade01,Dennis Rodman,209
harpero01,Ron Harper,94
burresc01,Scott Burrell,52
wennibi01,Bill Wennington,25
simpkdi01,Dickey Simpkins,13
buechju01,Jud Buechler,8
brownra02,Randy Brown,27
ricegl01,Glen Rice,215
masonan01,Anthony Mason,200
divacvl01,Vlade Divac,191
wesleda01,David Wesley,139
armstbj01,B.J. Armstrong,105
phillbo01,Bobby Phills,148
curryde01,Dell Curry,81
reidjr01,J.R. Reid,61
beckco01,Corey Beck,22
royaldo01,Donald Royal,13
willitr01,Travis Williams,7
geigema01,Matt Geiger,18
