Player ID,Player name,MP
parketo01,Tony Parker,176
leonaka01,Kawhi Leonard,167
duncati01,Tim Duncan,165
ginobma01,Manu Ginóbili,143
millspa02,Patty Mills,76
greenda02,Danny Green,106
diawbo01,Boris Diaw,176
splitti01,Tiago Splitter,84
belinma01,Marco Belinelli,59
baynear01,Aron Baynes,6
pendeje02,Jeff Ayres,7
bonnema01,Matt Bonner,27
josepco01,Cory Joseph,8
jamesle01,LeBron James,189
wadedw01,Dwyane Wade,172
boshch01,Chris Bosh,181
allenra02,Ray Allen,155
lewisra02,Rashard Lewis,114
chalmma01,Mario Chalmers,116
coleno01,Norris Cole,84
anderch01,Chris Andersen,90
jonesja02,James Jones,14
beaslmi01,Michael Beasley,17
douglto01,Toney Douglas,10
hasleud01,Udonis Haslem,22
battish01,Shane Battier,33
odengr01,Greg Oden,3
