Player ID,Player name,MP
antetgi01,Giannis Antetokounmpo,168
holidjr01,Jrue Holiday,180
lopezbr01,Brook Lopez,144
allengr01,Grayson Allen,120
portibo01,Bobby Portis,119
connapa01,Pat Connaughton,113
matthwe02,Wesley Matthews,139
middlkh01,Khris Middleton,72
carteje01,Jevon Carter,79
ibakase01,Serge Ibaka,19
antetth01,Thanasis Antetokounmpo,13
vildolu01,Luca Vildoza,10
nworajo01,Jordan Nwora,13
tuckera01,Rayjon Tucker,12
derozde01,DeMar DeRozan,203
vucevni01,Nikola Vučević,181
lavinza01,Zach LaVine,153
willipa01,Patrick Williams,153
whiteco01,Coby White,98
carusal01,Alex Caruso,113
dosunay01,Ayo Dosunmu,86
jonesde02,Derrick Jones Jr.,59
browntr01,Troy Brown Jr.,37
bradlto01,Tony Bradley,8
greenja02,Javonte Green,72
thomptr01,Tristan Thompson,38
