Player ID,Player name,MP
mitchdo01,Donovan Mitchell,207
garlada01,Darius Garland,189
leverca01,Caris LeVert,170
mobleev01,Evan Mobley,188
allenja01,Jarrett Allen,191
okorois01,Isaac Okoro,75
osmande01,Cedi Osman,93
lopezro01,Robin Lopez,6
stevela01,Lamar Stevens,9
greenda02,Danny Green,40
wadede01,Dean Wade,11
netora01,Raul Neto,7
rubiori01,Ricky Rubio,17
brunsja01,Jalen Brunson,188
barrerj01,RJ Barrett,169
randlju01,Julius Randle,143
hartjo01,Josh Hart,175
quickim01,Immanuel Quickley,118
toppiob01,Obi Toppin,86
robinmi01,Mitchell Robinson,141
harteis01,Isaiah Hartenstein,99
grimequ01,Quentin Grimes,62
mcbrimi01,Miles McBride,12
jeffrda01,DaQuan Jeffries,4
rosede01,Derrick Rose,3
