Player ID,Player name,MP
parketo01,Tony Parker,202
duncati01,Tim Duncan,199
ginobma01,Manu Ginóbili,155
finlemi01,Michael Finley,165
obertfa01,Fabricio Oberto,95
thomaku01,Kurt Thomas,114
udokaim01,Ime Udoka,64
barrybr01,Brent Barry,71
stoudda01,Damon Stoudamire,14
horryro01,Robert Horry,33
bowenbr01,Bruce Bowen,110
vaughja01,Jacque Vaughn,29
stoudam01,Amar'e Stoudemire,204
nashst01,Steve Nash,183
onealsh01,Shaquille O'Neal,150
diawbo01,Boris Diaw,178
bellra01,Raja Bell,215
barbole01,Leandro Barbosa,143
giricgo01,Gordan Giriček,80
hillgr01,Grant Hill,68
skinnbr01,Brian Skinner,21
marksse01,Sean Marks,3
piatker01,Eric Piatkowski,2
strawdj01,D.J. Strawberry,5
