Player ID,Player name,MP
hardaan01,Anfernee Hardaway,180
rogerro01,Rodney Rogers,124
robincl02,Clifford Robinson,152
mariosh01,Shawn Marion,127
blounco01,Corie Blount,87
dayto01,Todd Day,40
johnske02,Kevin Johnson,92
longllu01,Luc Longley,58
kiddja01,Jason Kidd,31
livinra01,Randy Livingston,51
milleol01,Oliver Miller,17
baileto01,Toby Bailey,1
robinda01,David Robinson,155
johnsav01,Avery Johnson,145
elliose01,Sean Elliott,119
walkesa01,Samaki Walker,121
eliema01,Mario Elie,116
daniean01,Antonio Daniels,82
rosema01,Malik Rose,83
portete01,Terry Porter,89
dialde01,Derrick Dial,7
jacksja01,Jaren Jackson,19
kerseje01,Jerome Kersey,24
