Player ID,Player name,MP
nashst01,Steve Nash,251
stoudam01,Amar'e Stoudemire,247
mariosh01,Shawn Marion,270
jacksji01,Jim Jackson,230
richaqu01,Quentin Richardson,234
johnsjo02,Joe Johnson,62
barbole01,Leandro Barbosa,75
huntest01,Steven Hunter,41
mccarwa01,Walter McCarty,52
outlabo01,Bo Outlaw,2
nowitdi01,Dirk Nowitzki,260
stackje01,Jerry Stackhouse,203
howarjo01,Josh Howard,211
terryja01,Jason Terry,235
finlemi01,Michael Finley,220
dampier01,Erick Dampier,153
daniema01,Marquis Daniels,85
armstda01,Darrell Armstrong,34
hendeal01,Alan Henderson,43
harride01,Devin Harris,10
bradlsh01,Shawn Bradley,11
