Player ID,Player name,MP
johnsjo02,Joe Johnson,286
willide01,Deron Williams,254
piercpa01,Paul Pierce,210
garneke01,Kevin Garnett,140
livinsh01,Shaun Livingston,167
teletmi01,Mirza Teletović,126
blatcan01,Andray Blatche,109
anderal01,Alan Anderson,157
thornma01,Marcus Thornton,73
plumlma01,Mason Plumlee,87
kirilan01,Andrei Kirilenko,72
derozde01,DeMar DeRozan,282
lowryky01,Kyle Lowry,271
johnsam01,Amir Johnson,191
valanjo01,Jonas Valančiūnas,200
pattepa01,Patrick Patterson,199
vasqugr01,Greivis Vásquez,190
rosste01,Terrence Ross,158
salmojo01,John Salmons,77
hansbty01,Tyler Hansbrough,29
hayesch01,Chuck Hayes,38
decolna01,Nando De Colo,4
fieldla01,Landry Fields,26
novakst01,Steve Novak,15
