Player ID,Player name,MP
irvinky01,Kyrie Irving,148
tatumja01,Jayson Tatum,142
haywago01,Gordon Hayward,124
morrima03,Marcus Morris,105
brownja02,Jaylen Brown,117
horfoal01,Al Horford,138
roziete01,Terry Rozier,75
baynear01,Aron Baynes,77
theisda01,Daniel Theis,27
ojelese01,Semi Ojeleye,0
wanambr01,Brad Wanamaker,3
williro04,Robert Williams,2
yabusgu01,Guerschon Yabusele,0
bogdabo02,Bojan Bogdanović,148
evansty01,Tyreke Evans,84
collida01,Darren Collison,117
youngth01,Thaddeus Young,130
turnemy01,Myles Turner,126
sabondo01,Domantas Sabonis,96
josepco01,Cory Joseph,85
matthwe02,Wesley Matthews,119
mcderdo01,Doug McDermott,29
holidaa01,Aaron Holiday,13
leaftj01,T.J. Leaf,10
oquinky01,Kyle O'Quinn,2
sumneed01,Edmond Sumner,2
