Player ID,Player name,MP
allenra02,Ray Allen,168
cassesa01,Sam Cassell,157
robingl01,Glenn Robinson,146
thomati01,Tim Thomas,101
willisc01,Scott Williams,88
caffeja01,Jason Caffey,82
johnser02,Ervin Johnson,84
hunteli01,Lindsey Hunter,80
hamda01,Darvin Ham,38
popema01,Mark Pope,41
alstora01,Rafer Alston,0
mcgratr01,Tracy McGrady,177
armstda01,Darrell Armstrong,166
garripa01,Pat Garrity,119
millemi01,Mike Miller,112
outlabo01,Bo Outlaw,134
declean01,Andrew DeClercq,54
brownde01,Dee Brown,54
hudsotr01,Troy Hudson,56
doleami01,Michael Doleac,46
reiddo01,Don Reid,25
amaecjo01,John Amaechi,28
willimo01,Monty Williams,15
