Player ID,Player name,MP
hardati01,Tim Hardaway,222
mournal01,Alonzo Mourning,137
lenarvo01,Voshon Lenard,186
murdoer01,Eric Murdock,125
brownpj01,P.J. Brown,190
mashbja01,Jamal Mashburn,129
majerda01,Dan Majerle,62
stricma01,Mark Strickland,27
conloma01,Marty Conlon,45
askinke01,Keith Askins,58
millste01,Terry Mills,11
causwdu01,Duane Causwell,6
houstal01,Allan Houston,207
starkjo01,John Starks,158
johnsla02,Larry Johnson,157
oaklech01,Charles Oakley,188
childch01,Chris Childs,123
wardch01,Charlie Ward,136
millsch01,Chris Mills,90
willibu01,Buck Williams,37
cummite01,Terry Cummings,66
dudlech02,Chris Dudley,22
bowiean01,Anthony Bowie,16
