Player ID,Player name,MP
jokicni01,Nikola Jokić,261
murraja01,Jamal Murray,230
harriga01,Gary Harris,240
millspa01,Paul Millsap,214
beaslma01,Malik Beasley,157
bartowi01,Will Barton,155
morrimo01,Monte Morris,141
craigto01,Torrey Craig,155
plumlma01,Mason Plumlee,104
hernaju01,Juancho Hernangómez,12
lylestr01,Trey Lyles,6
vandeja01,Jarred Vanderbilt,5
derozde01,DeMar DeRozan,251
aldrila01,LaMarcus Aldridge,244
whitede01,Derrick White,191
gayru01,Rudy Gay,179
forbebr01,Bryn Forbes,212
poeltja01,Jakob Poeltl,177
belinma01,Marco Belinelli,131
millspa02,Patty Mills,152
bertada01,Dāvis Bertāns,79
motiedo01,Donatas Motiejūnas,19
cunnida01,Dante Cunningham,13
walkelo01,Lonnie Walker IV,21
pondequ01,Quincy Pondexter,12
