Player ID,Player name,MP
antetgi01,Giannis Antetokounmpo,145
middlkh01,Khris Middleton,139
lopezbr01,Brook Lopez,114
holidjr01,Jrue Holiday,145
forbebr01,Bryn Forbes,80
portibo01,Bobby Portis,71
connapa01,Pat Connaughton,69
tuckepj01,P.J. Tucker,83
divindo01,Donte DiVincenzo,70
nworajo01,Jordan Nwora,13
bryanel01,Elijah Bryant,12
merrisa01,Sam Merrill,12
teaguje01,Jeff Teague,10
diakima01,Mamadi Diakite,12
toupaax01,Axel Toupane,8
jacksju01,Justin Jackson,1
dragigo01,Goran Dragić,117
adebaba01,Bam Adebayo,136
butleji01,Jimmy Butler,154
nunnke01,Kendrick Nunn,93
robindu01,Duncan Robinson,100
herroty01,Tyler Herro,93
dedmode01,Dewayne Dedmon,57
arizatr01,Trevor Ariza,96
bjeline01,Nemanja Bjelica,30
iguodan01,Andre Iguodala,71
achiupr01,Precious Achiuwa,12
vincega01,Gabe Vincent,14
okpalkz01,KZ Okpala,6
strusma01,Max Strus,6
