Player ID,Player name,MP
barklch01,Charles Barkley,103
olajuha01,Hakeem Olajuwon,114
eliema01,Mario Elie,115
malonma01,Matt Maloney,99
drexlcl01,Clyde Drexler,105
willike02,Kevin Willis,66
johnsed03,Eddie Johnson,64
threase01,Sedale Threatt,36
bullama01,Matt Bullard,3
livinra01,Randy Livingston,11
harriot01,Othella Harrington,4
jonesch01,Charles Jones,2
marbust01,Stephon Marbury,118
guglito01,Tom Gugliotta,121
garneke01,Kevin Garnett,125
garrede01,Dean Garrett,117
westdo01,Doug West,88
mitchsa01,Sam Mitchell,47
portete01,Terry Porter,46
robinja02,James Robinson,31
healsh01,Shane Heal,2
parksch02,Cherokee Parks,11
carrch01,Chris Carr,8
vrankst01,Stojko Vranković,6
