Player ID,Player name,MP
bookede01,Devin Booker,216
duranke01,Kevin Durant,219
aytonde01,Deandre Ayton,172
paulch01,Chris Paul,193
craigto01,Torrey Craig,127
okogijo01,Josh Okogie,100
biyombi01,Bismack Biyombo,55
leeda03,Damion Lee,35
shamela01,Landry Shamet,55
landajo01,Jock Landale,8
payneca01,Cameron Payne,3
rosste01,Terrence Ross,4
wainris01,Ish Wainright,7
warretj01,T.J. Warren,6
westbru01,Russell Westbrook,192
powelno01,Norman Powell,167
leonaka01,Kawhi Leonard,80
mannte01,Terance Mann,133
gordoer01,Eric Gordon,149
zubaciv01,Ivica Zubac,130
hylanbo01,Bones Hyland,82
plumlma01,Mason Plumlee,91
morrima03,Marcus Morris,68
batumni01,Nicolas Batum,92
bostobr01,Brandon Boston Jr.,1
coffeam01,Amir Coffey,1
covinro01,Robert Covington,12
prestja01,Jason Preston,1
