Player ID,Player name,MP
hardeja01,James Harden,180
smithjo03,Josh Smith,128
howardw01,Dwight Howard,163
breweco01,Corey Brewer,129
joneste01,Terrence Jones,127
arizatr01,Trevor Ariza,183
terryja01,Jason Terry,124
capelca01,Clint Capela,44
prigipa01,Pablo Prigioni,107
dorsejo01,Joey Dorsey,3
johnsni01,Nick Johnson,9
papanko01,Kostas Papanikolaou,3
ellismo01,Monta Ellis,197
nowitdi01,Dirk Nowitzki,181
bareajo01,J.J. Barea,154
aminual01,Al-Farouq Aminu,150
chandty01,Tyson Chandler,160
stoudam01,Amar'e Stoudemire,75
villach01,Charlie Villanueva,43
harride01,Devin Harris,74
rondora01,Rajon Rondo,37
jefferi01,Richard Jefferson,51
feltora01,Raymond Felton,36
parsoch01,Chandler Parsons,37
jamesbe01,Bernard James,2
poweldw01,Dwight Powell,3
smithgr02,Greg Smith,1
