Player ID,Player name,MP
hamilri01,Richard Hamilton,202
princta01,Tayshaun Prince,211
wallara01,Rasheed Wallace,170
billuch01,Chauncey Billups,72
stuckro01,Rodney Stuckey,130
mcdyean01,Antonio McDyess,136
maxieja01,Jason Maxiell,105
hunteli01,Lindsey Hunter,41
afflaar01,Arron Afflalo,29
ratlith01,Theo Ratliff,47
hayesja01,Jarvis Hayes,18
herrmwa01,Walter Herrmann,27
dixonju01,Juan Dixon,7
johnsam01,Amir Johnson,5
lewisra02,Rashard Lewis,206
turkohe01,Hedo Türkoğlu,200
howardw01,Dwight Howard,213
nelsoja01,Jameer Nelson,171
evansma01,Maurice Evans,145
doolike01,Keyon Dooling,67
boganke01,Keith Bogans,142
gortama01,Marcin Gortat,24
arroyca01,Carlos Arroyo,17
augusja01,James Augustine,2
garripa01,Pat Garrity,6
foylead01,Adonal Foyle,3
redicjj01,J.J. Redick,6
