Player ID,Player name,MP
anthoca01,Carmelo Anthony,233
smithjr01,J.R. Smith,191
feltora01,Raymond Felton,208
shumpim01,Iman Shumpert,166
martike01,Kenyon Martin,133
chandty01,Tyson Chandler,179
copelch01,Chris Copeland,69
prigipa01,Pablo Prigioni,118
stoudam01,Amar'e Stoudemire,33
richaqu01,Quentin Richardson,7
novakst01,Steve Novak,8
whiteja02,James White,5
cambyma01,Marcus Camby,0
kiddja01,Jason Kidd,89
georgpa01,Paul George,259
westda01,David West,218
hillge01,George Hill,197
hibbero01,Roy Hibbert,225
stephla01,Lance Stephenson,210
augusdj01,D.J. Augustin,117
hansbty01,Tyler Hansbrough,74
greenge01,Gerald Green,19
youngsa01,Sam Young,49
mahinia01,Ian Mahinmi,51
johnsor01,Orlando Johnson,7
pendeje02,Jeff Ayres,8
hansbbe01,Ben Hansbrough,7
