Player ID,Player name,MP
bibbymi01,Mike Bibby,203
webbech01,Chris Webber,186
stojape01,Peja Stojaković,212
chrisdo01,Doug Christie,210
millebr01,Brad Miller,134
divacvl01,Vlade Divac,71
songada01,Darius Songaila,65
peelean01,Anthony Peeler,93
wallage01,Gerald Wallace,18
smithja01,Jabari Smith,6
buforro01,Rodney Buford,1
nowitdi01,Dirk Nowitzki,211
daniema01,Marquis Daniels,185
nashst01,Steve Nash,196
finlemi01,Michael Finley,197
jamisan01,Antawn Jamison,111
walkean02,Antoine Walker,140
howarjo01,Josh Howard,87
najered01,Eduardo Nájera,56
bradlsh01,Shawn Bradley,2
delkto01,Tony Delk,6
willisc01,Scott Williams,11
