Player ID,Player name,MP
bryanko01,Kobe Bryant,223
malonka01,Karl Malone,194
onealsh01,Shaquille O'Neal,210
paytoga01,Gary Payton,163
fishede01,Derek Fisher,106
rushka01,Kareem Rush,92
medvest01,Stanislav Medvedenko,48
georgde01,Devean George,69
waltolu01,Luke Walton,36
cookbr01,Brian Cook,5
foxri01,Rick Fox,76
russebr01,Bryon Russell,4
francst01,Steve Francis,223
mingya01,Yao Ming,188
jacksji01,Jim Jackson,223
moblecu01,Cuttino Mobley,209
tayloma01,Maurice Taylor,119
catoke01,Kelvin Cato,146
nachbbo01,Boštjan Nachbar,39
weathcl01,Clarence Weatherspoon,22
padgesc01,Scott Padgett,11
jacksma01,Mark Jackson,38
piatker01,Eric Piatkowski,3
wilksmi01,Mike Wilks,4
