Player ID,Player name,MP
millere01,Reggie Miller,195
roseja01,Jalen Rose,190
besttr01,Travis Best,118
davisda01,Dale Davis,158
croshau01,Austin Croshere,123
smitsri01,Rik Smits,78
jacksma01,Mark Jackson,122
perkisa01,Sam Perkins,75
mckeyde01,Derrick McKey,82
tabakza01,Žan Tabak,26
mullich01,Chris Mullin,25
bendejo01,Jonathan Bender,8
allenra02,Ray Allen,187
cassesa01,Sam Cassell,178
robingl01,Glenn Robinson,174
thomati01,Tim Thomas,142
willisc01,Scott Williams,93
johnser02,Ervin Johnson,154
delnevi01,Vinny Del Negro,93
hamda01,Darvin Ham,144
turkcmi01,Mirsad Türkcan,10
alstora01,Rafer Alston,16
mannida01,Danny Manning,5
traylro01,Robert Traylor,4
