Player ID,Player name,MP
westbru01,Russell Westbrook,235
georgpa01,Paul George,251
anthoca01,Carmelo Anthony,194
adamsst01,Steven Adams,200
grantje01,Jerami Grant,133
breweco01,Corey Brewer,151
feltora01,Raymond Felton,79
abrinal01,Álex Abrines,110
pattepa01,Patrick Patterson,58
fergute01,Terrance Ferguson,6
huestjo01,Josh Huestis,19
johnsda04,Dakari Johnson,3
mitchdo01,Donovan Mitchell,232
inglejo01,Joe Ingles,212
goberru01,Rudy Gobert,213
rubiori01,Ricky Rubio,181
favorde01,Derrick Favors,197
crowdja01,Jae Crowder,165
onealro01,Royce O'Neale,108
burksal01,Alec Burks,22
exumda01,Dante Exum,56
jerebjo01,Jonas Jerebko,38
udohek01,Ekpe Udoh,10
netora01,Raul Neto,5
stockda01,David Stockton,1
