Player ID,Player name,MP
jordami01,Michael Jordan,252
pippesc01,Scottie Pippen,248
kukocto01,Toni Kukoč,177
longllu01,Luc Longley,170
rodmade01,Dennis Rodman,225
harpero01,Ron Harper,116
kerrst01,Steve Kerr,113
brownra02,Randy Brown,49
wennibi01,Bill Wennington,42
buechju01,Jud Buechler,33
sallejo01,John Salley,15
kempsh01,Shawn Kemp,242
paytoga01,Gary Payton,274
schrede01,Detlef Schrempf,238
hawkihe01,Hersey Hawkins,230
perkisa01,Sam Perkins,190
wingada01,David Wingate,48
mcmilna01,Nate McMillan,51
askewvi01,Vincent Askew,62
brickfr01,Frank Brickowski,68
johnser02,Ervin Johnson,20
schefst01,Steve Scheffler,8
snower01,Eric Snow,9
